Title,Job_Type,Company,Area,City,Experience,Career_Level,Education_Level,Salary,Job_Categories,Skills_and_Tools,Job_Description,Job_Requirements
Data Analyst,Full Time,Orient,"
Maadi", Cairo,More than 1 year,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Confidential,Analyst/Research,Data Analysis | Data Analytics | Financial Data Analysis | Business Analysis | Research Analysis | Business Analytics | Information Technology (IT) | English,"Must be advanced BI tools & Excel user | Establish the data analytics methods and organize collecting data in order to meet the needs of business | Use different statistical tools to interpret data sets, paying particular attention to trends and patterns that could be valuable for diagnostic and predictive analytics efforts | Develop daily, Weekly and Monthly reports supporting functions and needs of sales and marketing departments | Perform data cleansing/de-duplication/merging/calculation/analysis | Deal with departments’ leaders to identify opportunities & strengths for better process improvements and recommend system modifications | Work on Monthly basis operational statistics as requested, key findings, insights and recommendations to respective counterparts and plays an active role in analyzing commercial data | Ensure accuracy of data and deliverables of reporting employees with comprehensive policies and processes | Evaluate performance capacity & provide recommendations that would increase the current performance to optimum level | Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy","Minimum 1 Year experience | Proven experience as a Data Analyst is necessary | Advanced Microsoft Excel skills | Time-management skills | Excellent level of commitment, accuracy and urgency | Excellent analytical & reporting skills | V.good in English"
Senior Financial Analyst,Full Time,Confidential Company,"
Sheikh Zayed", Giza,7 to 10 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,Accounting/Finance | Analyst/Research,Accounting | analytical | Analyst | Finance | Reporting | Financial Analysis | CFA | CMA | CPA | excel | Financial | Financial Management,"Examining and evaluating financial data and financial results | Analyzing and assessing company’s performance | Examining and reporting on the financial status | Conducting business studies on past, future and comparative performance | Identifying trends and recommending actions to executive management | Developing models that help with decision-making | Presenting to executive management financial results in easy and meaningful way | Giving interpretations to executive management | Translating financial data into detailed presentations and easy-to-understand financial reports | Providing analytical review, feedback, and recommendation to executive management | Identifying opportunities for performance improvement | Providing recommendations to reduce costs and improve financial performance","Bachelor degree in Finance, Accounting or Economics | Experience 7-10 years as a Senior Financial Analyst or similar role | Relevant certification (e.g. /CMA/CFA/CPA) is a plus | Strong mathematical, statistical and analytical skills | Outstanding presentation, reporting and communication skills | Experience in MS Excel (advanced formulas) and creating charts | Strategic thinking skills | Confidentiality in handling financial information"
Business Research Analyst - German Speaker,Full Time,Infomineo,"
Maadi", Cairo,0 to 2 years,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,"Confidential, B2-C1 German is required",Analyst/Research,Market Research | Research | Economics | Consulting,"Analyze research requests and define the best approach to successfully complete them | Gather data, verify it for accuracy, and package it in a structured and easily digestible manner | Assess existing research sources and data collection strategies, while coming up with suggestions when possible | Collaborate with clients and managers on the status of your work | Use your creativity and expertise to support Infomineo’s internal development projects | A competitive salary | A great working environment & fast-track career trajectory | A healthy work-life balance | Health insurance Benefits","You have the ability to analyze a problem, ask relevant questions, and think outside-of-the-box | You have past experience in or a love for research, consulting or data analysis | Preferably, you are someone with 1-2 years of work experience | You hold a Bachelors or Masters degree in Business, Economics, or similar field | You are at ease when working with figures and concepts that include modeling or correlation analysis | You are a creative self-starter that appreciates working in an entrepreneurial environment | You enjoy collaborating with people and working in teams | You are fully proficient in English and German - kann problemlos in beiden Sprachen arbeiten.*"
Senior Business Analyst,Full Time,Caelum Egypt,"
Dokki", Giza,More than 5 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,IT/Software Development | Analyst/Research | Engineering - Telecom/Technology,Analysis | Business Analysis | Business Development | Engineering | Science | System Analysis | Software | Information Technology (IT) | Computer Science | analytical | Data | Computer Programs,"You will work closely with G2K Business and R&D teams to realize future improvements of existing and new Information Technology (IT) solutions | You will identify, document and manage all business requirements for a solution, so it meets the needs and expectations of G2K customers | Identify business requirements by gathering information, analyzing and documenting all stakeholder needs in various formats (e.g. SRS, FRS, use cases, business flows, user stories & acceptance criteria) | Support Top Management by preparing high quality documents and presentations regarding G2K products competitive edge, and opportunities for collaboration with various possible partners | Support definition of high- & low-level design for business development activities as well as physical and conceptual diagrams with the Solution Architects | Support R&D and QA teams in development and testing phases | Supervise Technical Writing in Preparing Marketing / Project white Papers, User Guides and Training Materials","5+ years of business analysis or System Analysis experience | Computer Science or Engineering degree | Technical background is a must | Good Knowledge of MS Tools (office, TFs…etc.) | Knowledge of Big Data, IoT and SaaS concepts is a plus | Solid knowledge and experience in business analysis, requirements analysis, and software engineering | Great understanding of software lifecycle management | High Analytical Skills for identifying solution for complex problems | Good ability to facilitate, plan and manage workshops or activities | Very good interpersonal skills, strong ability to communicate, drive business, lead change and co-operation | Flexibility regarding new topics, quick understanding of new market demands including technology and business topics | High motivation to take responsibility and provide insights for decision-makers under complex circumstances | Experience in preparing pricing sheets and Bill of Materials (BOM) | Capability to benchmark competitors and identify ideas for having competitive edge products"
Senior Data Analyst,Full Time,Alarabia Group,"
10th of Ramadan City", Cairo,2 to 5 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,IT/Software Development | Analyst/Research | Engineering - Telecom/Technology,BI | BI Developer | Computer Science | developer | Information Technology (IT) | Power | Power BI | power bi developer | SQL,"To understand business requirements in the BI context and design data models to convert raw data to meaningful insights | To create dashboards and visual interactive reports using Power BI | To identify KPIs with clear objectives and monitor them consistently | To analyze data and present it through reports that can help in decision-making | To design, develop, and deploy Power BI scripts and perform efficient detailed analysis | To perform DAX queries and functions in Power BI | To create charts and document data with algorithms, parameters, models, and relations explanations | To perform SQL querying for best results | To use filters and graphs for a better understanding of the data | To define and design new systems by analyzing current ETL processes | To make technical changes to existing BI systems in order to enhance their working | Develop and execute database queries and conduct analysis | Maintain and support data analytics platforms","BSc/BA in Computer Science or relevant field | 2 to 5 Years of experience in the same position | Experience in PowerBI dashboard design, development and publishing | Experienced in analyzing data outside PowerBI using other tools | Very good knowledge of (SQL queries),, (SSRS) and (SSIS) | Background in data warehouse design (e.g. dimensional modeling) and data mining | In-depth understanding of database management systems | Familiarity with BI technologies (MS Power BI or similar tools)"
Business and Customer Success Analyst,Full Time,Z2 Data,"
Nasr City", Cairo,3 to 5 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,Analyst/Research,Business Analysis | Analysis | Communication skills | Customer Care | Customer Service | Customer Support | Economics | English | Management | Microsoft Excel | Microsoft Powerpoint | Sales,"Plan and execute requirements gathering activities | Interact with the customers to gather their business and user requirements | Interpret business and user requirements into clear and comprehensive documentation | Align with technical and data development teams to map users’ requirements into practical system requirements specifications | Support research requests and define the best approach to successfully complete them | Use your creativity and expertise to support Z2Data’s internal development project | Suggesting alternatives when the required information is not available | Reporting on the status of the request: closed, on-hold; discussing relevancy of methodologies/approaches used to conduct business requirements","3-5 years of proven experience in business analysis, consulting, and data analysis | Highly proficient in English and excellent communication skills (verbal and written) and ability to adapt your communication style for the audience | Advanced Microsoft Excel, Microsoft PowerPoint, Microsoft Visio | Ability to analyze a problem, ask relevant questions, and think outside-of-the-box | Flexible working with figures and concepts that include modeling or correlation analysis | creative self-starter that appreciates working in an entrepreneurial environment | hold a Bachelors or Master degree in Business, Management, Economics, or similar field | enjoy collaborating with people and working in teams"
Tech Lead / System Analyst,Full Time,Dafa,"
Haram", Giza,3 to 10 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,IT/Software Development | Analyst/Research | Engineering - Telecom/Technology,Analyst | Computer Science | Information Technology (IT) | Software | Software Development | Software engineer | Software Engineering | system | System Analyst | CBAP | Communication | English | Engineering,"Please read carefully before applying | Develop, analyze, prioritize, and organize requirement specifications, data mapping, diagrams, and flow charts for developers and testers to follow with them and ensure their compatibility with the Egypt branch | Deploy, maintain, and troubleshoot core business applications | Good in PHP Programming language – Node.js “min 3 years” | Meet and coordinate with internal stakeholders to establish project scope, system goals, and requirements | Translate highly technical specifications into clear non-technical requirements and vice versa | Manage the set-up and configuration of systems with updates | Define and coordinate the execution of testing procedures, and develop test cases to serve the overall quality assurance process | Provide documentation of all processes and train employees as needed | Develop and implement maintenance procedures, monitor systems health, gather system statistics and troubleshoot reported errors and alarms through received tickets from users | Responsible for user creation on the system & updating it (adding, deleting, authority level) | Coordinate design, implementation, and upgrades of information systems to meet the business and user needs | Implement best practices for scalability, supportability, ease of maintenance, and system performance through daily logging on the system to check users & handle compliance | Follow up with the developer's team on all released issues according to their priority",Years of experience: 4 to 8 years of work experience | Excellent communication and presentation skills | Excellent analytical skills | Leadership and facilitation skills | Fluent in written and spoken English and Arabic | Bachelor’s degree in Computer Science or related discipline is preferred | CCBA/CBAP certified is preferred | Willingness to travel on short business trips frequently
Market Research Analyst,Full Time,Progress Egypt,"
10th of Ramadan City", Sharqia,0 to 2 years,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,"Confidential, Transportation will be provided",Marketing/PR/Advertising | Analyst/Research,Market Research | Research analyst | Research | Marketing | Analyst | Writing | MS Office | Skills,"Prepare reports of findings, illustrating data graphically and translating complex findings into written text | Collect and analyze data on customer demographics, preferences, needs, and buying habits to identify potential markets and factors affecting product demand | Conduct research on consumer opinions and marketing strategies, collaborating with marketing professionals, statisticians, pollsters, and other professionals | Measure and assess customer and employee satisfaction | Devise and evaluate methods and procedures for collecting data, such as surveys, opinion polls, or questionnaires, or arrange to obtain existing data | Identifies potential new products or markets through research | Forecasts and tracks industry marketing and sales trends based on collected data","Education: Bachelor's Degree in Business, Marketing or relevant | Years of Experience: From 0 to 2 years of experience in Market Research field | 10th of Ramadan residence is a must | Undergraduates are welcome | Language: Very good commands of English (speaking and writing) | Computer skills: Proficiency in MS Office"
Sales Analyst,Full Time,Dabur,"
New Cairo", Cairo,1 to 3 years,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Confidential,Sales/Retail,Sales | Sales Analysis | SAP | FMCG | Microsoft Office | English | Sales Analyst,"Receive Sales Orders Over the Phone & Distributor Inquires | Book Sales team and customer’s orders | Book orders on sap in absence of an order maker | Prepare Daily and Monthly Sales reports | Follow up sales actual promotions vs approved | Assist in Tech-applications (Reach- E Claims-ETC...) | Prepare primary-sec report | Collect all required data from the sales team (Journey plans, stock files, etc.) | Track POS materials stock | Track pending orders and analysis",Bachelor's degree from any reputable university | Minimum 1-3 years of experience as a Sales Analyst in the FMCG industry | Very Good command of both written and spoken English language | Excellent Microsoft office skills | SAP users will be a great added value
Senior Financial Reporting Analyst,Full Time,Mantrac,"
Alexandria", Egypt,4 to 9 years,Experienced (Non-Manager),Bachelor's Degree,"Confidential, Annual Bonus (1 month)",Accounting/Finance | Analyst/Research,Analysis | Accounting | Economics | English | Finance | Financial Analysis | Reporting | Financial Management | Microsoft Excel | Financial,"Revising Group combined sales report | Preparing weekly Sales Analysis Report by function and Business Unit | Uploading weekly financials for companies that are not working on the same system | Reconcile companies’ monthly TB’s | Preparing and Reporting Consolidated Group Financials; Balance Sheet, Income Statement and Cash Flow, on monthly basis | Preparing and Reporting BU financials on monthly basis | Reconciling and Reporting Group Aged Debtors and DSR on monthly basis | Reconciling and Reporting Group Aged Stock and ITR on monthly basis | Consolidating Group Working Capital | Preparing monthly finance booklet | Preparing monthly finance Presentation | Preparing Group Capex by company and type of asset | Preparing Group Expenses Analysis by company, Business Unit, center of Excellence and Type of Expense on Monthly basis | Preparing and Consolidating the Annual Dealership Finance Report  “DFRS” | Preparing the consolidated sensitized budget analysis | Responsible for monitoring and analyzing functions and BU financial budget performance compared to actuals | Coordinate the inputs and review of key business stakeholders | Own document management of source data | Own document management of published reports | Help develop new reports / updates as required by the Strategic Planning, Finance and Performance Management teams","BSc (Degree), preferably in a numerical discipline such as MIS , economics, statistics, finance or Accounting | English level: B2 - C1 | Must have previously held a similar position as a Reporting Analyst with experience of conducting reporting analysis and supporting the development of business cases | Strong excel analysis skills | Strong analytical skills i.e. Power BI | Strong understanding of KPIs and uses in business | Strong understanding of business financials and management accounts | Good commercial / strategic acumen | Excellent analytical skills | Ability to manage production of reports / presentations | Worked in a multi-divisional environment | Experience of coordinating analysis across divisions / business units | Strong interpersonal and communication skills a must | Proactive and self-motivated to anticipate, priorities and action appropriate performance reporting analysis demands | Accountancy  qualified | Oracle EPM | Strong financial skills – understanding of management accounts | Work in a multi-international environment"
ERP Business Analyst,Full Time,Seoudi Supermarket,"
6th of October", Giza,3 to 6 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,IT/Software Development | Analyst/Research | Engineering - Telecom/Technology,Computer Science | Information Technology (IT) | SAP | Dynamics 365 | Oracle | ERP,"Collect and analyze data to help improve an organization's  finance operations | Understanding strategic business needs and plans for growth | Evaluating business processes, anticipating requirements, uncovering areas for improvement, and developing and implementing solutions | Analyze data to identify areas of finance operations to improve efficiency | Identifying problems in workflow, analyzing costs and benefits, suggesting improvements, and assisting in negotiations to order supplies or services | Producing reports on application development and implementation | Responsible for gathering user requirement | Do the impact analysis with help of development teams | Lead the demand process and communicate the design to dev. Team | Handover the business cycle implementation deliverable to support teams | Document all business processes (Financial and Retail) | Estimating costs and identifying business savings | Design the UAT scripts and lead users and testing team in testing activities | Responsible for training and training material preparation | Own and lead project delivery according to the project plan | Lead the team in applications functional tasks delivery | Running A/B tests and analyzing data | Manage vendors that deal with the corporate in an efficient way","Bachelor degree in computer engineering | 3 to 6 years Experience | Proven experience in one of the following: SAP or Oracle or Microsoft AX “Dynamics 365” | Knowledge of one of the following Points of Sales (RMS, LS, Toshiba, Fujitsu, IVend,…etc )"
Software Business Analyst - (Onsite),Freelance / Project,Qsource,"
6th of October", Giza,3 to 5 years,Manager,Bachelor's Degree,Confidential,Business Development | IT/Software Development,Business Analysis | Analysis | Software | Project Management | Communication | Computer Science | Development | English | Information Technology (IT) | Management | Microsoft Office | Software Development,"Back Ground IT / IS is a must | Managing different Stakeholders | Tracking and Monitoring Analysis Documents | Ensure and validate BRDs, SRSs and integration documents preparation as per the business needs | Support vendor technical teams by clarifying requirements or business concerns raised during project implementation phases | Communicate the requirements with business and development teams and perform sanity testing for developed solutions | Ensure required master data and other relevant information, Guidelines, printing docs, infra details to be collected and shared with development team | Validate and consolidate the required data collection sheets required for the Go-Live | Conducting all necessary meetings with all stakeholders to conclude the tasks & requirements | Develop and manage a detailed project schedule and work plan | Should be able to understand, define and document the scope | Identify risks early, perform risk analysis, and plan risk mitigation strategies | Get connected with all vendors to provide integration Support during Development phase | Track Key users on the project pending tasks. Give Guidance and advice in applying processes | Should be able to report any scope change and route the same through change management board","Graduated from Computer Science or Relevant | Have from 3 to 5 years of experience in Software Development Domain is Must | Very good English is Must | Demonstrates understanding of project management processes | Business Analysis experience Must | Manages products delivery | Excellent client-facing and interpersonal communication skills | Excellent written and verbal communication skills | Solid organizational skills including attention to detail and multitasking skills | Strong working knowledge of Microsoft office (MS Projects, Visio, Excel, Word, and PowerPoint)"
BI Analyst,Full Time,Webhelp,"
New Cairo", Cairo,More than 2 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,IT/Software Development | Analyst/Research | Engineering - Telecom/Technology,CRM | Power BI | SQL | Computer Science | Engineering | excel | Analysis | BI,Extract and analyze data to monitor the sales performance | Track sales data and activities through CRM | Provide high quality reports to communicate key business insights | Build dynamic dashboards and visuals using BI tools,"Bachelor's degree in computer science, engineering or equivalent | Fluency in English | Previous experience in BI analysis | Strong Power BI knowledge | Excellent Excel skills | Advanced level of SQL | Experience in CRM is required"
Senior Sales Analyst,Full Time,Rashideen Egypt for Trade,"
Maadi", Cairo,1 to 3 years,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Confidential,Analyst/Research | Sales/Retail,Sales | Sales Target | sales skills | FMCG | Management | Microsoft Office | Experience | excel | English | Customer Service | Communication | Skills,"Preparing MSL(Must Stock List) report to clarify the monthly target for MSL products and what has been achieved by the delegate to add KPIs at the end of the month and then send it to the Trade Marketing Department weekly according to the latest update | Daily Data Entry, ""SAP"" | Support for Sales Manager | Work with Sales Team to identify most current category insights | Daily Closing Sales | Coordination between the Sales Manager and Account Management | Work with forecasting by providing them with the necessary information | Preparing reports on the monthly target for the different and intrusive sales sectors that may occur during the month | Preparing reports that show the status of the company and the condition of its employees and compare the coverage with the itineraries with the itineraries team | Review the item codes and ensure that they match the code on the company's system",Bachelor degree | (1 – 2) years of experience in FMCG field (preferable) | Excellent command in Microsoft Office -Applications (Especially Excel) | Good command of English (written/spoken) | Excellent communication and time Management skills
Operations Research Analyst,Full Time,Confidential Company,"
New Cairo", Cairo,5 to 10 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,IT/Software Development | Operations/Management | Analyst/Research,Analysis | Analyst | Operations Research | Research analyst | Research | Operations | Computer Science | Engineering | Research Analysis,"Collecting and analyzing data from current operation systems to develop decision support software | Gathering input from workers or people with specialized knowledge who can assist in solving operational problems | Using statistical analysis or simulations to analyze the information to define operational problems, develop methods to analyze the problem, and develop practical solutions | Defining data requirements, gathering and validating information, and applying judgment and statistical tests to devise problem-solving actions | Developing mathematical models of potential and existing operational problems | Performing tests to ensure the accuracy of the models | Advising leadership teams on solutions and assisting with decision making | Writing reports on your findings and recommendations | Developing time and cost networks to plan, control, and review large projects | Developing business methods and procedures, such as accounting systems, logistics systems, and production schedules","A bachelor's degree in operations research, engineering, computer science, mathematics, or related field | A master's degree would be advantageous | Excellent analytical, critical thinking, problem-solving, and mathematical skills | Strong communication, interpersonal, and report writing skills | Computer literacy and familiarity with advanced statistical and database software"
Data Analyst,Full Time,Grand Plast,"
Salam City", Cairo,7 to 12 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,Analyst/Research,English | Data Analysis | Analysis | Computer Science | Information Technology (IT),"Obtaining data from primary and secondary sources, maintaining databases, and removing corrupted data | Performing analyzes at various stages (checking data quality, performing analysis to understand and interpreting data, additional analysis of data for verification) | Develop and implement data analytics, data collection systems, and other strategies that improve statistical efficiency and quality | Identify, analyze, and interpret trends or patterns in complex data sets | Designing and maintaining data systems and databases | Preparing reports based on analysis and presenting them to management",Bachelor's or Master's degree | From 7 To 12 years’ experience | Fully proficient in English
Business Analyst - Growing Multinational Co,Full Time,Confidential Company,"
Suez", Egypt,4 to 7 years,Experienced (Non-Manager),Bachelor's Degree,"Confidential, Attractive Package",IT/Software Development | Analyst/Research | Engineering - Telecom/Technology,Business Analysis | Information Technology (IT) | Computer Science | Analysis | Arabic | Documentation | Agile | English | Management | Science | Supply Chain,,"Experience showing adhering to Best practices to BABOK Standards is a plus | Customs, Supply Chain Management, Logistics and Transportation Management/ Freight Forwarding / Warehousing Domain Knowledge is preferable and is an advantage | Knowledge of Agile is preferable | Candidate must possess at least a Bachelor of Science , Master of Computer Application/Computer Science or equivalent | BA Certification is a plus and will be given preference"
Business Analyst (Software),Full Time,Taqneen,"
Nasr City", Cairo,4 to 7 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,Business Development | Analyst/Research,Information Technology (IT) | UI/UX | UI Design | Computer Science | Business Analysis | Communication skills | Software Development | Analysis | Agile | business | analytical | Software | Scrum,"Analyzing the structure of a business to determine how it operates and determine its objectives | Identifying any problems with the current business model | Developing comprehensive end-to-end Business scenarios, use cases, and test cases | Communicating with various Stockholders levels | Enhance reporting outputs and data visualization | Collaborate with development team members, data teams, and Project Management to develop business and technical requirements | Create a detailed business analysis, indicate challenges, identify, and validate the key business requirements | Create and document functional requirements and non-functional requirements | Work as part of the Agile Scrum team to communicate changes in established expectations to stakeholders | Create, prioritize and update product backlog | Build strong relationships/rapport with cross-functional business teams | Partner with other stakeholder teams across the company to develop necessary analysis and documentation | Contribute to release planning and management | Meet with key stakeholders to provide early product demonstrations as well as release presentations","Bachelor's degree in Business or Bachelor's degree in Computer Science, Engineering or similar relevant field | 5+ years of experience in related industry | Previously working in tourism is a PLUS | Strong written and verbal communication skills | Strong technology, analytical, and communication skills | Proven analytical background | Proven development of innovative and impactful systems solutions | Highly proficient technical writing capabilities | In-depth knowledge and understanding of web and mobile technologies and applications | Strong knowledge about software development life cycle | Up to date with Agile/Scrum best practices and new trends | Experience working with wireframing tools | Practical experience generating process documentation | Excellent communicator with the ability to translate data into actionable insights | Strong communication skills with the ability to discuss any issues with a wide variety of individuals and groups | Capability to produce content on time, with attention to detail, and an emphasis on identifying and pitching to a target audience | A well-organized team player with the ability to perform various tasks, act individually, and think creatively | Willingness to learn and develop business analysis skills | Competitive and proactive attitude"
Software Business Analyst,Full Time,Keys Group Services,"
Mohandessin", Giza,More than 3 years,Experienced (Non-Manager),Bachelor's Degree,18000 to 30000 EGP Per Month,IT/Software Development | Analyst/Research | Engineering - Telecom/Technology,Architecture | ARIS | Business Analysis | Computer Science | Enterprise | Information Technology (IT) | is | Modeling | Software | Analyst | Business Analyst | Communication | Research,"Analyzing the structure of a business to determine how it operates and determine its objectives | Identifying any problems with the current business model | Developing comprehensive end-to-end Business scenarios, use cases, and test cases | Communicating with various Stockholders levels | Enhance reporting outputs and data visualization | Collaborate with development team members, data teams, and Project Management to develop business and technical requirements | Create a detailed business analysis, indicate challenges, identify, and validate the key business requirements | Create and document functional requirements and non-functional requirements",Bachelor’s degree in computer science or relevant | 3 + years of professional experience | 1+ ARIS Enterprise architecture modeling is a must | IIBA certificate is a plus | Excellent research and analytic skills | In-depth knowledge of Business & data modeling techniques | Excellent attention to detail | Ability to turn complex concepts into simple language | Excellent verbal and written communication skills | Excellent time management and prioritization skills | Business Writing and Reporting | Documentation proficiency in both English and Arabic
Senior Business Analyst,Full Time,CYSHIELD,"
Cairo", Egypt,2 to 3 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,IT/Software Development | Analyst/Research | Engineering - Telecom/Technology,Analyst | business | Analysis | Business Development | Business Analysis | Information Technology (IT) | Software Development | Software | Computer Science | Communication skills | Agile,"Analyze business processes | Create and update business process documentation | Initiate high level business analysis document and work with stakeholders to support in project pricing | Create a detailed business analysis, outlining problems, opportunities and solutions for a business | Initiate the BRDs (Business Requirements Documents), SRS (Software Requirements Specification), and User Stories and get them signed off by the business owners | Provide project-level analysis – producing required project analysis documentation (business requirements, scope, use cases, analysis models, future state proposals, UAT plan) | Write Acceptance Criteria and behavior driven development/What-If Scenarios | Analyze the changes in the user stories to support the development process | Work as part of the Agile Scrum team to communicate changes in established expectations to stakeholders | Create, prioritize and update product backlog | Coordinate the planning and monitoring of project requirements and managing scope with the project manager to ensure success project delivery | Build strong relationship/rapport with cross-functional business teams | Partner with other stakeholder teams across the company to develop necessary analysis and documentation | Contribute to release planning and management | Meet with key stakeholders to provide early product demonstrations as well as release presentation | Support and align efforts to meet customer and business needs | Understand and negotiate needs and expectations of multiple stakeholders/projects. Serve as a liaison between Operations and IT to assist or gather business requirements needed for system modifications, enhancement, and implementations | Support our Project Team in analyzing customer processes and in preparing functional documentation","Strong technology, analytical and communication skills | Proven analytical background | Proven development of innovative and impactful systems solutions | Highly proficient technical writing capabilities | In-depth knowledge and understanding of web and mobile technologies and applications | Strong knowledge about software development life cycle | Up to date with Agile/Scrum best practices and new trends | Experience working with wireframing tools | Practical experience generating process documentation.
Excellent communicator with the ability to translate data into actionable insights | Strong communication skills with the ability to discuss any issues with a wide variety of individuals and groups | Capability to produce content on time, with attention to detail, and an emphasis on identifying and pitching to a target audience | A well-organized team player with the ability to perform various tasks, act individually, and think creatively | Willingness to learn and develop business analysis skills | Competitive and proactive attitude | 2 to 3  years of experience as a business analyst is a must"
Business Analyst Team Lead,Full Time,Future Group,"
Dokki", Giza,3 to 5 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,Analyst/Research | Engineering - Telecom/Technology,Analysis | BI | SQL | business | Economics | Research | Political Science | Statistics | Data Modeling | English | Microsoft SQL Server | Data visualization | Communication | Leadership | Team Management,"Managing BA team ( 4 members) attendance, performance, schedules, utilization, etc | Establish the BA team objectives and set implementation plan after Quality manager approval | Responsible for all communication with Incorta team | Assign and distribute tickets among team | Handle the high priority and statistical analysis requests | Create main schemas on Incorta, | Handle adding and/or removing any new user on Incorta | Conduct frequent meeting with Dept. Managers | Attend weekly meeting with the CEO and Quality Manager","Graduation from Faculty of Economics and Political Science , information Technology or Computer Science | 3-5 years of experience as a Business Analyst | Statistical, mathematical, analytical, and data modeling background, at least 3 years of experience in the statistical analysis and data modeling | Experience in applied research or data management | Ability to manipulate large, complex data sets into manageable, understandable reports | Familiar with SQL and data visualization | Worked with BI tool before"
Senior Digital Data Analyst,Full Time,Jazeera Paints,"
10th of Ramadan City", Cairo,3 to 6 years,Experienced (Non-Manager),Bachelor's Degree,"Confidential, Transportation , Social Insurance ,Medical Insurance",IT/Software Development | Analyst/Research | Engineering - Telecom/Technology,Analysis | Analyst | analytical | business | Computer Science | Data | Data Analysis | English | Google Analytics | Information Technology (IT) | Marketing | Microsoft Office,Digital Marketing planning support and sales increase through data analysis | Reporting and following up Pattern and trend identification | Marketing support through Insight extraction & data processing | Helping develop reports and analysis,"Bachelor’s degree in relevant fields | Excellent  English speaking, reading, and writing | Team player and responsive | Experienced analyst having demonstrable experience in leading analytical projects | Google Analytics, Data Analytics, Tableau, Power BI, and Microsoft Office including Excel are all major technical skills | Digital Analysts should know how to execute A/B testing | infer insights from data, manage deadlines, and understand the business and marketing terms used in industry lingo and goal setting | 3 ~ 6 Years Exp. in Digital Mkt., Analysis, BI Development | Excellent Communication, Organizing, Creativity, and Innovation skills"
Information Security Analyst,Full Time,Confidential Company,"
Maadi", Cairo,3 to 5 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,IT/Software Development | Analyst/Research | Engineering - Telecom/Technology,Information Security | IT | Computer Science | Information Systems | CEH | Security Systems | CISM | Computer Engineering | Engineering | CISSP | Testing | Information Technology (IT) | Network | Security,"Ensuring systems are operated, used, maintained, and disposed of in accordance with all applicable security policies and practices | Participate in the creation and maintenance of enterprise security documents (policies, standards, baselines, guidelines and procedures) | Analyzing and assessing potential security risks, developing plans to deal with such incidents by putting measures in place such as monitoring and auditing systems for abnormal activity, and executing corrective actions | Reporting security incidents in accordance with the Incident Response Plan | Support the company wide security awareness training program | Conduct and Monitor compliance with Industry standards (PCI, HIPAA) | Maintain confidentiality, integrity and availability of data and services residing on or transmitted to/from/through enterprise workstations, servers and other systems and other data repositories | Monitor security related tools and functions, investigate/escalate incidents using subject matter expertise as they occur and work with other business units to mitigate risks to acceptable levels | Conduct vulnerability assessments, penetration tests and security audits per standards and company policies | Engage in ongoing communications with peers in the Systems and Networking groups as well as the various business groups to ensure enterprise wide understanding of security goals, to solicit feedback and to foster co-operation | Develop plans to safeguard computer files against accidental or unauthorized modification, destruction, or disclosure and to meet emergency data processing needs | Conduct security audit and penetration test on company various systems and applications | Monitor transaction patterns to identify fraudulent activity, high risk transactions and determine existing fraud trends | Recommend anti-fraud processes for changing transaction patterns and trends | Generate suspicious activity reports and risk management reports for Managers","Bachelor's degree in the field of computer science or management information systems or a related field, is required | One or more of the following certifications is preferred: CISSP, CEH, Security +, GIAC GSEC, GIAC GCIH, CISM | Required Knowledge, Skills & Experience | 3-5 Years’ experience working in an IT Security role responsible for information security | Experience with vulnerability and patch management | Experience with mobile device management | Solid understanding of penetration testing and vulnerability assessments | Experience with security testing of enterprise networks through ethical hacking | Experience with incident handling including knowledge of common probing and attack methods, network/service discovery, system auditing, viruses, and worms | Experience working in financial sector or regulated industry dealing with sensitive data preferred | Strong analytical and problem solving skills"
